
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc
  1095       0.255739     16309.     5.30426E+00     2.09877E-06     9.46569E-01
  1094       0.255754     16307.     5.30415E+00     2.09998E-06     9.46623E-01
  1093       0.255768     16305.     5.30404E+00     2.10118E-06     9.46677E-01
  1092       0.255783     16303.     5.30392E+00     2.10238E-06     9.46731E-01
  1091       0.255798     16302.     5.30380E+00     2.10358E-06     9.46785E-01
  1090       0.255812     16300.     5.30367E+00     2.10478E-06     9.46839E-01
  1089       0.255827     16298.     5.30354E+00     2.10598E-06     9.46893E-01
  1088       0.255842     16296.     5.30341E+00     2.10718E-06     9.46948E-01
  1087       0.255856     16294.     5.30326E+00     2.10838E-06     9.47002E-01
  1086       0.255871     16292.     5.30312E+00     2.10957E-06     9.47056E-01
  1085       0.255885     16291.     5.30297E+00     2.11077E-06     9.47110E-01
  1084       0.255900     16289.     5.30281E+00     2.11197E-06     9.47164E-01
  1083       0.255915     16287.     5.30265E+00     2.11316E-06     9.47218E-01
  1082       0.255929     16285.     5.30248E+00     2.11435E-06     9.47272E-01
  1081       0.255944     16283.     5.30231E+00     2.11555E-06     9.47326E-01
  1080       0.255959     16282.     5.30213E+00     2.11674E-06     9.47381E-01
  1079       0.255973     16280.     5.30195E+00     2.11793E-06     9.47435E-01
  1078       0.255988     16278.     5.30176E+00     2.11912E-06     9.47489E-01
  1077       0.256002     16276.     5.30157E+00     2.12031E-06     9.47543E-01
  1076       0.256017     16275.     5.30138E+00     2.12150E-06     9.47597E-01
  1075       0.256032     16273.     5.30117E+00     2.12268E-06     9.47651E-01
  1074       0.256046     16271.     5.30097E+00     2.12387E-06     9.47705E-01
  1073       0.256061     16269.     5.30076E+00     2.12506E-06     9.47760E-01
  1072       0.256076     16267.     5.30054E+00     2.12624E-06     9.47814E-01
  1071       0.256090     16266.     5.30032E+00     2.12743E-06     9.47868E-01
  1070       0.256105     16264.     5.30009E+00     2.12861E-06     9.47922E-01
  1069       0.256119     16262.     5.29986E+00     2.12979E-06     9.47976E-01
  1068       0.256134     16260.     5.29962E+00     2.13097E-06     9.48030E-01
  1067       0.256149     16259.     5.29938E+00     2.13215E-06     9.48085E-01
  1066       0.256163     16257.     5.29914E+00     2.13333E-06     9.48139E-01
  1065       0.256178     16255.     5.29889E+00     2.13451E-06     9.48193E-01
  1064       0.256193     16253.     5.29863E+00     2.13569E-06     9.48247E-01
  1063       0.256207     16251.     5.29837E+00     2.13687E-06     9.48301E-01
  1062       0.256222     16250.     5.29810E+00     2.13805E-06     9.48355E-01
  1061       0.256237     16248.     5.29783E+00     2.13922E-06     9.48410E-01
  1060       0.256251     16246.     5.29755E+00     2.14040E-06     9.48464E-01
  1059       0.256266     16244.     5.29727E+00     2.14157E-06     9.48518E-01
  1058       0.256281     16243.     5.29699E+00     2.14275E-06     9.48572E-01
  1057       0.256295     16241.     5.29670E+00     2.14392E-06     9.48626E-01
  1056       0.256310     16239.     5.29640E+00     2.14509E-06     9.48681E-01
  1055       0.256324     16237.     5.29610E+00     2.14626E-06     9.48735E-01
  1054       0.256339     16236.     5.29579E+00     2.14743E-06     9.48789E-01
  1053       0.256354     16234.     5.29548E+00     2.14860E-06     9.48843E-01
  1052       0.256368     16232.     5.29517E+00     2.14977E-06     9.48898E-01
  1051       0.256383     16230.     5.29484E+00     2.15094E-06     9.48952E-01
  1050       0.256398     16229.     5.29452E+00     2.15210E-06     9.49006E-01
  1049       0.256412     16227.     5.29419E+00     2.15327E-06     9.49060E-01
  1048       0.256427     16225.     5.29385E+00     2.15443E-06     9.49114E-01
  1047       0.256442     16224.     5.29351E+00     2.15560E-06     9.49169E-01
  1046       0.256456     16222.     5.29316E+00     2.15676E-06     9.49223E-01
  1045       0.256471     16220.     5.29281E+00     2.15793E-06     9.49277E-01
  1044       0.256486     16218.     5.29246E+00     2.15909E-06     9.49331E-01
  1043       0.256500     16217.     5.29210E+00     2.16025E-06     9.49386E-01
  1042       0.256515     16215.     5.29173E+00     2.16141E-06     9.49440E-01
  1041       0.256530     16213.     5.29136E+00     2.16257E-06     9.49494E-01
  1040       0.256544     16211.     5.29098E+00     2.16373E-06     9.49548E-01
  1039       0.256559     16210.     5.29060E+00     2.16489E-06     9.49603E-01
  1038       0.256574     16208.     5.29022E+00     2.16604E-06     9.49657E-01
  1037       0.256588     16206.     5.28983E+00     2.16720E-06     9.49711E-01
  1036       0.256603     16205.     5.28943E+00     2.16835E-06     9.49766E-01
  1035       0.256618     16203.     5.28903E+00     2.16951E-06     9.49820E-01
  1034       0.256632     16201.     5.28862E+00     2.17066E-06     9.49874E-01
  1033       0.256647     16199.     5.28821E+00     2.17182E-06     9.49928E-01
  1032       0.256662     16198.     5.28780E+00     2.17297E-06     9.49983E-01
  1031       0.256676     16196.     5.28738E+00     2.17412E-06     9.50037E-01
  1030       0.256691     16194.     5.28695E+00     2.17527E-06     9.50091E-01
  1029       0.256706     16193.     5.28652E+00     2.17642E-06     9.50145E-01
  1028       0.256720     16191.     5.28608E+00     2.17757E-06     9.50200E-01
  1027       0.256735     16189.     5.28564E+00     2.17872E-06     9.50254E-01
  1026       0.256750     16188.     5.28520E+00     2.17987E-06     9.50308E-01
  1025       0.256764     16186.     5.28475E+00     2.18101E-06     9.50363E-01
  1024       0.256779     16184.     5.28429E+00     2.18216E-06     9.50417E-01
  1023       0.256794     16183.     5.28383E+00     2.18331E-06     9.50471E-01
  1022       0.256808     16181.     5.28336E+00     2.18445E-06     9.50526E-01
  1021       0.256823     16179.     5.28289E+00     2.18559E-06     9.50580E-01
  1020       0.256838     16177.     5.28242E+00     2.18674E-06     9.50634E-01
  1019       0.256852     16176.     5.28193E+00     2.18788E-06     9.50689E-01
  1018       0.256867     16174.     5.28145E+00     2.18902E-06     9.50743E-01
  1017       0.256882     16172.     5.28096E+00     2.19016E-06     9.50797E-01
  1016       0.256896     16171.     5.28046E+00     2.19130E-06     9.50852E-01
  1015       0.256911     16169.     5.27996E+00     2.19244E-06     9.50906E-01
  1014       0.256926     16167.     5.27945E+00     2.19358E-06     9.50960E-01
  1013       0.256940     16166.     5.27894E+00     2.19471E-06     9.51015E-01
  1012       0.256955     16164.     5.27843E+00     2.19585E-06     9.51069E-01
  1011       0.256970     16162.     5.27791E+00     2.19699E-06     9.51123E-01
  1010       0.256984     16161.     5.27738E+00     2.19812E-06     9.51178E-01
  1009       0.256999     16159.     5.27685E+00     2.19926E-06     9.51232E-01
  1008       0.257014     16157.     5.27631E+00     2.20039E-06     9.51286E-01
  1007       0.257028     16156.     5.27577E+00     2.20152E-06     9.51341E-01
  1006       0.257043     16154.     5.27523E+00     2.20265E-06     9.51395E-01
  1005       0.257058     16152.     5.27467E+00     2.20378E-06     9.51449E-01
  1004       0.257073     16151.     5.27412E+00     2.20492E-06     9.51504E-01
  1003       0.257087     16149.     5.27356E+00     2.20604E-06     9.51558E-01
  1002       0.257102     16147.     5.27299E+00     2.20717E-06     9.51613E-01
  1001       0.257117     16146.     5.27242E+00     2.20830E-06     9.51667E-01
  1000       0.257131     16144.     5.27184E+00     2.20943E-06     9.51721E-01
   999       0.257146     16142.     5.27126E+00     2.21056E-06     9.51776E-01
   998       0.257161     16141.     5.27067E+00     2.21168E-06     9.51830E-01
   997       0.257175     16139.     5.27008E+00     2.21281E-06     9.51884E-01
   996       0.257190     16138.     5.26949E+00     2.21393E-06     9.51939E-01
   995       0.257205     16136.     5.26889E+00     2.21505E-06     9.51993E-01
   994       0.257219     16134.     5.26828E+00     2.21618E-06     9.52048E-01
   993       0.257234     16133.     5.26767E+00     2.21730E-06     9.52102E-01
   992       0.257249     16131.     5.26705E+00     2.21842E-06     9.52156E-01
   991       0.257264     16129.     5.26643E+00     2.21954E-06     9.52211E-01
   990       0.257278     16128.     5.26580E+00     2.22066E-06     9.52265E-01
   989       0.257293     16126.     5.26517E+00     2.22178E-06     9.52320E-01
   988       0.257308     16124.     5.26453E+00     2.22290E-06     9.52374E-01
   987       0.257322     16123.     5.26389E+00     2.22401E-06     9.52429E-01
   986       0.257337     16121.     5.26324E+00     2.22513E-06     9.52483E-01
   985       0.257352     16120.     5.26259E+00     2.22624E-06     9.52537E-01
   984       0.257367     16118.     5.26193E+00     2.22736E-06     9.52592E-01
   983       0.257381     16116.     5.26127E+00     2.22847E-06     9.52646E-01
   982       0.257396     16115.     5.26060E+00     2.22959E-06     9.52701E-01
   981       0.257411     16113.     5.25993E+00     2.23070E-06     9.52755E-01
   980       0.257425     16111.     5.25925E+00     2.23181E-06     9.52810E-01
   979       0.257440     16110.     5.25857E+00     2.23292E-06     9.52864E-01
   978       0.257455     16108.     5.25788E+00     2.23403E-06     9.52919E-01
