
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/amu.cm-3      p/dyn.cm-2   R/Rc
   625       0.310866      1892.     5.17777E+00     3.55312E-06     9.62882E-01
   624       0.310902      1892.     5.17431E+00     3.55598E-06     9.62992E-01
   623       0.310937      1892.     5.17083E+00     3.55884E-06     9.63102E-01
   622       0.310973      1892.     5.16732E+00     3.56169E-06     9.63212E-01
   621       0.311008      1891.     5.16379E+00     3.56454E-06     9.63322E-01
   620       0.311044      1891.     5.16024E+00     3.56738E-06     9.63432E-01
   619       0.311079      1891.     5.15666E+00     3.57022E-06     9.63542E-01
   618       0.311115      1890.     5.15305E+00     3.57306E-06     9.63652E-01
   617       0.311150      1890.     5.14942E+00     3.57589E-06     9.63762E-01
   616       0.311186      1890.     5.14577E+00     3.57872E-06     9.63872E-01
   615       0.311222      1889.     5.14209E+00     3.58154E-06     9.63983E-01
   614       0.311257      1889.     5.13839E+00     3.58436E-06     9.64093E-01
   613       0.311293      1889.     5.13466E+00     3.58717E-06     9.64203E-01
   612       0.311328      1888.     5.13091E+00     3.58998E-06     9.64313E-01
   611       0.311364      1888.     5.12713E+00     3.59278E-06     9.64423E-01
   610       0.311400      1888.     5.12332E+00     3.59559E-06     9.64534E-01
   609       0.311435      1887.     5.11949E+00     3.59838E-06     9.64644E-01
   608       0.311471      1887.     5.11564E+00     3.60117E-06     9.64754E-01
   607       0.311506      1887.     5.11176E+00     3.60396E-06     9.64864E-01
   606       0.311542      1886.     5.10785E+00     3.60675E-06     9.64975E-01
   605       0.311578      1886.     5.10392E+00     3.60953E-06     9.65085E-01
   604       0.311613      1886.     5.09997E+00     3.61230E-06     9.65195E-01
   603       0.311649      1885.     5.09599E+00     3.61507E-06     9.65306E-01
   602       0.311684      1885.     5.09198E+00     3.61784E-06     9.65416E-01
   601       0.311720      1885.     5.08794E+00     3.62060E-06     9.65526E-01
   600       0.311756      1884.     5.08388E+00     3.62336E-06     9.65637E-01
   599       0.311791      1884.     5.07980E+00     3.62611E-06     9.65747E-01
   598       0.311827      1884.     5.07569E+00     3.62886E-06     9.65857E-01
