
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc
  1115       0.257478     16370.     5.09247E+00     2.06083E-06     9.47543E-01
  1114       0.257493     16368.     5.09228E+00     2.06199E-06     9.47597E-01
  1113       0.257508     16367.     5.09209E+00     2.06314E-06     9.47651E-01
  1112       0.257523     16365.     5.09189E+00     2.06429E-06     9.47705E-01
  1111       0.257537     16363.     5.09169E+00     2.06545E-06     9.47759E-01
  1110       0.257552     16361.     5.09148E+00     2.06660E-06     9.47813E-01
  1109       0.257567     16359.     5.09127E+00     2.06775E-06     9.47868E-01
  1108       0.257581     16358.     5.09105E+00     2.06890E-06     9.47922E-01
  1107       0.257596     16356.     5.09083E+00     2.07005E-06     9.47976E-01
  1106       0.257611     16354.     5.09060E+00     2.07120E-06     9.48030E-01
  1105       0.257626     16352.     5.09037E+00     2.07235E-06     9.48084E-01
  1104       0.257640     16351.     5.09013E+00     2.07350E-06     9.48138E-01
  1103       0.257655     16349.     5.08989E+00     2.07464E-06     9.48193E-01
  1102       0.257670     16347.     5.08965E+00     2.07579E-06     9.48247E-01
  1101       0.257684     16345.     5.08940E+00     2.07693E-06     9.48301E-01
  1100       0.257699     16343.     5.08914E+00     2.07808E-06     9.48355E-01
  1099       0.257714     16342.     5.08888E+00     2.07922E-06     9.48409E-01
  1098       0.257729     16340.     5.08862E+00     2.08036E-06     9.48464E-01
  1097       0.257743     16338.     5.08835E+00     2.08150E-06     9.48518E-01
  1096       0.257758     16336.     5.08807E+00     2.08265E-06     9.48572E-01
  1095       0.257773     16335.     5.08779E+00     2.08379E-06     9.48626E-01
  1094       0.257788     16333.     5.08751E+00     2.08492E-06     9.48680E-01
  1093       0.257802     16331.     5.08722E+00     2.08606E-06     9.48735E-01
  1092       0.257817     16329.     5.08693E+00     2.08720E-06     9.48789E-01
  1091       0.257832     16328.     5.08663E+00     2.08834E-06     9.48843E-01
  1090       0.257846     16326.     5.08633E+00     2.08947E-06     9.48897E-01
  1089       0.257861     16324.     5.08602E+00     2.09061E-06     9.48951E-01
  1088       0.257876     16322.     5.08571E+00     2.09174E-06     9.49006E-01
  1087       0.257891     16321.     5.08539E+00     2.09288E-06     9.49060E-01
  1086       0.257905     16319.     5.08507E+00     2.09401E-06     9.49114E-01
  1085       0.257920     16317.     5.08474E+00     2.09514E-06     9.49168E-01
  1084       0.257935     16315.     5.08441E+00     2.09627E-06     9.49223E-01
  1083       0.257950     16314.     5.08407E+00     2.09740E-06     9.49277E-01
  1082       0.257964     16312.     5.08373E+00     2.09853E-06     9.49331E-01
  1081       0.257979     16310.     5.08338E+00     2.09966E-06     9.49385E-01
  1080       0.257994     16308.     5.08303E+00     2.10079E-06     9.49440E-01
  1079       0.258009     16307.     5.08268E+00     2.10192E-06     9.49494E-01
  1078       0.258023     16305.     5.08232E+00     2.10305E-06     9.49548E-01
  1077       0.258038     16303.     5.08195E+00     2.10417E-06     9.49602E-01
  1076       0.258053     16302.     5.08158E+00     2.10530E-06     9.49657E-01
  1075       0.258068     16300.     5.08121E+00     2.10642E-06     9.49711E-01
  1074       0.258082     16298.     5.08083E+00     2.10754E-06     9.49765E-01
  1073       0.258097     16296.     5.08044E+00     2.10867E-06     9.49819E-01
  1072       0.258112     16295.     5.08005E+00     2.10979E-06     9.49874E-01
  1071       0.258127     16293.     5.07966E+00     2.11091E-06     9.49928E-01
  1070       0.258141     16291.     5.07926E+00     2.11203E-06     9.49982E-01
